ID;DES_CARGO
259;Especialista de Educa‡?o B sica
26;Subtenente
260;Professor de Educa‡?o B sica
261;Fiscal de Defesa do Consumidor
262;Analista de Atividades de Defesa do Consumidor
263;T‚cnico de Atividades de Defesa do Consumidor
264;Agente de Atividades Penitenci rias
267;Especialista em Pol¡ticas P£blicas e Gest?o Governamental
268;Analista em Pol¡ticas P£blicas e Gest?o Governamental
269;T‚cnico em Pol¡ticas P£blicas e Gest?o Governamental
27;Primeiro-Sargento
270;Analista Jur¡dico
271;T‚cnico Jur¡dico
272;Agente Jur¡dico
273;Especialista em Pol¡ticas P£blicas e Gest?o Governamental-M‚dico
274;T‚cnico em Pol¡ticas P£blicas e Gest?o Governamental-Agente de Portaria
275;T‚cnico em Pol¡ticas P£blicas e Gest?o Governamental-Auxiliar de Laborat¢rio
276;Agente Administrativo
277;Pintor
278;Agente Administrativo
28;Segundo-Sargento
288;Assistente Jur¡dico Especial
289;Assistente Jur¡dico de 1¦ Categoria
29;Terceiro-Sargento
290;Assistente Jur¡dico de 2¦ Categoria
291;Analista de Apoio … Assistˆncia Judici ria
292;T‚cnico de Apoio … Assistˆncia Judici ria
293;Analista de Planejamento e Gest?o Urbana
294;T‚cnico de Planejamento e Gest?o Urbana
295;Agente Jur¡dico - Agente de Portaria
296;Analista Jur¡dico
297;T‚cnico Jur¡dico
298;Agente Jur¡dico
299;Agente Jur¡dico - Agente de Portaria
3;Auxiliar de Administra‡?o P£blica
30;Cabo
300;Professor
301;Especialista em Educa‡?o
302;Auditor-Fiscal da Receita
303;T‚cnico de Trƒnsito
304;Auxiliar de Servi‡os Gerais
305;Auxiliar de Servi‡os Gerais
306;Analista de Gest?o Fazend ria
307;T‚cnico de Gest?o Fazend ria
308;Agente de Gest?o Fazend ria
309;Agente de Gest?o Fazend ria - Agente de Portaria
31;Soldado - 1¦ Classe
310;T‚cnico Legislativo - Agente de Pol¡cia Legislativa
311;T‚cnico de Administra‡?o P£blica - TCDF
312;Auxiliar de Administra‡?o P£blica - TCDF
313;Auxiliar de Administra‡?o P£blica - em extin‡?o - TCDF
314;Anterior … Lei n§ 51/89 - n¡vel b sico
315;Anterior … Lei n§ 51/89 - n¡vel m‚dio
316;Anterior … Lei n§ 51/89 - n¡vel superior
317;Assistente T‚cnico
318;Delegado de Pol¡cia
319;M‚dico-Legista
32;Soldado - 2¦ Classe
320;Perito Criminal
321;Escriv?o de Pol¡cia
322;Agente de Pol¡cia
323;Datiloscopista Policial
324;Agente Penitenci rio
33;Segundo-Sargento
331;Pedagogo - Orientador Educacional
335;Monitor de Gest?o Educacional
336;Agente de Trƒnsito Rodovi rio
337;Armazenista
339;Cirurgi?o-Dentista
34;Terceiro-Sargento
340;Defensor P£blico do Distrito Federal - Especial
341;Defensor P£blico do Distrito Federal - 1¦ Categoria
342;Defensor P£blico do Distrito Federal - 2¦ Categoria
343;Auditor de Controle Interno
344;Inspetor T‚cnico de Controle Interno
345;Especialista em Assistˆncia Social
346;T‚cnico em Assistˆncia Social
347;Atendente de Reintegra‡?o Social
348;Auxiliar em Assistˆncia Social
349;M‚dico
35;Cabo
